text,label,n_chars,n_words,n_hashtags,n_mentions,n_urls,n_numbers,has_cashtag,text_lemma,text_stem,text_transformer
Arch Coal stock price target cut to $97 from $100 at B. Riley FBR,0,65,14,0,0,0,2,False,arch coal stock price target cut riley fbr,arch coal stock price target cut riley fbr,Arch Coal stock price target cut to $97 from $100 at B. Riley FBR
AT&T downgraded by MoffettNathanson to sell on concern wireless can't carry the whole company,0,93,14,0,0,0,0,False,downgraded moffettnathanson sell concern wireless carry whole company,downgrad moffettnathanson sell concern wireless carri whole compani,AT&T downgraded by MoffettNathanson to sell on concern wireless can't carry the whole company
AT&T shares sink after MoffettNathanson downgrade,0,49,6,0,0,0,0,False,share sink moffettnathanson downgrade,share sink moffettnathanson downgrad,AT&T shares sink after MoffettNathanson downgrade
"AT&T stock falls after MoffettNathanson downgrades, saying dividend looks less compelling",0,89,11,0,0,0,0,False,stock fall moffettnathanson downgrade saying dividend look less compelling,stock fall moffettnathanson downgrad say dividend look less compel,"AT&T stock falls after MoffettNathanson downgrades, saying dividend looks less compelling"
Aurora Cannabis stock price target cut to C$1.00 from C$1.75 at Stifel Nicolaus,0,79,13,0,0,0,2,False,aurora cannabis stock price target cut stifel nicolaus,aurora cannabi stock price target cut stifel nicolaus,Aurora Cannabis stock price target cut to C$1.00 from C$1.75 at Stifel Nicolaus
Autodesk downgraded to underweight from neutral at JPMorgan,0,59,8,0,0,0,0,False,autodesk downgraded underweight neutral jpmorgan,autodesk downgrad underweight neutral jpmorgan,Autodesk downgraded to underweight from neutral at JPMorgan
BAML warns of profit pressure for Hormel,0,40,7,0,0,0,0,False,baml warns profit pressure hormel,baml warn profit pressur hormel,BAML warns of profit pressure for Hormel
Barclays cools on Molson Coors,0,30,5,0,0,0,0,False,barclays cool molson coors,barclay cool molson coor,Barclays cools on Molson Coors
Becton Dickinson downgraded to outperform from strong buy at Raymond James,0,74,11,0,0,0,0,False,becton dickinson downgraded outperform strong buy raymond james,becton dickinson downgrad outperform strong buy raymond jame,Becton Dickinson downgraded to outperform from strong buy at Raymond James
Becton Dickinson downgraded to sector weight from overweight at KeyBanc Capital,0,79,11,0,0,0,0,False,becton dickinson downgraded sector weight overweight keybanc capital,becton dickinson downgrad sector weight overweight keybanc capit,Becton Dickinson downgraded to sector weight from overweight at KeyBanc Capital
Berry Petroleum downgraded to market perform from outperform at BMO Capital,0,75,11,0,0,0,0,False,berry petroleum downgraded market perform outperform bmo capital,berri petroleum downgrad market perform outperform bmo capit,Berry Petroleum downgraded to market perform from outperform at BMO Capital
Berry Petroleum downgraded to underweight from sector weight at KeyBanc Capital,0,79,11,0,0,0,0,False,berry petroleum downgraded underweight sector weight keybanc capital,berri petroleum downgrad underweight sector weight keybanc capit,Berry Petroleum downgraded to underweight from sector weight at KeyBanc Capital
Bluebird bio downgraded to in line from outperform at Evercore ISI,0,66,11,0,0,0,0,False,bluebird bio downgraded line outperform evercore isi,bluebird bio downgrad line outperform evercor isi,Bluebird bio downgraded to in line from outperform at Evercore ISI
Bluebird bio stock price target cut to $86 from $172 at Evercore ISI,0,68,13,0,0,0,2,False,bluebird bio stock price target cut evercore isi,bluebird bio stock price target cut evercor isi,Bluebird bio stock price target cut to $86 from $172 at Evercore ISI
Canada Goose downgraded to buy from strong buy at CFRA,0,54,10,0,0,0,0,False,canada goose downgraded buy strong buy cfra,canada goos downgrad buy strong buy cfra,Canada Goose downgraded to buy from strong buy at CFRA
Canada Goose stock price target cut to $50 from $65 at CFRA,0,59,12,0,0,0,2,False,canada goose stock price target cut cfra,canada goos stock price target cut cfra,Canada Goose stock price target cut to $50 from $65 at CFRA
Children's Place downgraded as e-commerce puts margins at risk,0,62,9,0,0,0,0,False,child place downgraded commerce put margin risk,children place downgrad commerc put margin risk,Children's Place downgraded as e-commerce puts margins at risk
Children's Place price target cut to $80 from $105 at Monness Crespi Hardt,0,74,13,0,0,0,2,False,child place price target cut monness crespi hardt,children place price target cut mon crespi hardt,Children's Place price target cut to $80 from $105 at Monness Crespi Hardt
Cinedigm Corp. Analysts Are Cutting Their Estimates: Here's What You Need To Know,0,81,13,0,0,0,0,False,cinedigm corp analyst cutting estimate need know,cinedigm corp analyst cut estim need know,Cinedigm Corp. Analysts Are Cutting Their Estimates: Here's What You Need To Know
Clovis Oncology stock price target cut to $8 from $12 at Evercore ISI,0,69,13,0,0,0,2,False,clovis oncology stock price target cut evercore isi,clovi oncolog stock price target cut evercor isi,Clovis Oncology stock price target cut to $8 from $12 at Evercore ISI
Cumberland Pharmaceuticals stock price target cut to $9.00 from $12.25 at B. Riley FBR,0,86,14,0,0,0,2,False,cumberland pharmaceutical stock price target cut riley fbr,cumberland pharmaceut stock price target cut riley fbr,Cumberland Pharmaceuticals stock price target cut to $9.00 from $12.25 at B. Riley FBR
"Dell, HPE targets trimmed on compute headwinds",0,46,7,0,0,0,0,False,dell hpe target trimmed compute headwind,dell hpe target trim comput headwind,"Dell, HPE targets trimmed on compute headwinds"
Dish may not be key winner amid Intelsat woes - analyst,0,55,11,0,0,0,0,False,dish may key winner amid intelsat woe analyst,dish may key winner amid intelsat woe analyst,Dish may not be key winner amid Intelsat woes - analyst
Disney downgraded as analyst says parks attendance could take 2 years to 'normalize' https://t.co/InJKourtW3,0,108,14,0,0,1,1,False,disney downgraded analyst say park attendance could take year normalize,disney downgrad analyst say park attend could take year normal,Disney downgraded as analyst says parks attendance could take 2 years to 'normalize'
Downgrades 11/25: $AEO $COLM $DGII $EQT $ESS $EVRG $GTT $KRG $MANT $MDCO $NFLX $OMP $PEG $PRU $SBT $SITC $TAP $VIPS,0,115,20,0,0,0,2,True,downgrade ticker ticker ticker ticker ticker ticker ticker ticker ticker ticker ticker ticker ticker ticker ticker ticker ticker ticker,downgrad ticker ticker ticker ticker ticker ticker ticker ticker ticker ticker ticker ticker ticker ticker ticker ticker ticker ticker,Downgrades 11/25: $AEO $COLM $DGII $EQT $ESS $EVRG $GTT $KRG $MANT $MDCO $NFLX $OMP $PEG $PRU $SBT $SITC $TAP $VIPS
Downgrades 4/7: $MLND $MSGN $MTLS $O $OC $OVV $PEB $PK $PLYA $QEP $RHP $RPAI $SAIA $SDC $SHOP $SKY $SLG $SM $TWLO… https://t.co/NGkYTADOSt,0,138,22,0,0,1,2,True,downgrade ticker ticker ticker ticker ticker ticker ticker ticker ticker ticker ticker ticker ticker ticker ticker ticker ticker ticker ticker,downgrad ticker ticker ticker ticker ticker ticker ticker ticker ticker ticker ticker ticker ticker ticker ticker ticker ticker ticker ticker,Downgrades 4/7: $MLND $MSGN $MTLS $O $OC $OVV $PEB $PK $PLYA $QEP $RHP $RPAI $SAIA $SDC $SHOP $SKY $SLG $SM $TWLO…
Dropbox on watch after stinging Spruce Point report,0,51,8,0,0,0,0,False,dropbox watch stinging spruce point report,dropbox watch sting spruce point report,Dropbox on watch after stinging Spruce Point report
"Earnings Update: electroCore, Inc. Just Reported And Analysts Are Trimming Their Forecasts",0,90,12,0,0,0,0,False,earnings update electrocore inc reported analyst trimming forecast,earn updat electrocor inc report analyst trim forecast,"Earnings Update: electroCore, Inc. Just Reported And Analysts Are Trimming Their Forecasts"
Evercore downgrades bluebird bio and Clovis in premarket analyst action,0,71,10,0,0,0,0,False,evercore downgrade bluebird bio clovis premarket analyst action,evercor downgrad bluebird bio clovi premarket analyst action,Evercore downgrades bluebird bio and Clovis in premarket analyst action
"Fannie Mae, Freddie Mac downgraded to sell, as analyst cites 'unintended consequences' of CARES Act https://t.co/NhiYwphBQd",0,123,16,0,0,1,0,False,fannie mae freddie mac downgraded sell analyst cite unintended consequence care act,fanni mae freddi mac downgrad sell analyst cite unintend consequ care act,"Fannie Mae, Freddie Mac downgraded to sell, as analyst cites 'unintended consequences' of CARES Act"
Forescout downgraded to neutral from buy at Monness Crespi Hardt,0,64,10,0,0,0,0,False,forescout downgraded neutral buy monness crespi hardt,forescout downgrad neutral buy mon crespi hardt,Forescout downgraded to neutral from buy at Monness Crespi Hardt
FormFactor cut on 'unsustainable' revenue outlook,0,49,6,0,0,0,0,False,formfactor cut unsustainable revenue outlook,formfactor cut unsustain revenu outlook,FormFactor cut on 'unsustainable' revenue outlook
Funko downgraded to hold from buy at Stifel Nicolaus,0,52,9,0,0,0,0,False,funko downgraded hold buy stifel nicolaus,funko downgrad hold buy stifel nicolaus,Funko downgraded to hold from buy at Stifel Nicolaus
Funko stock price target cut to $10 from $25 at Stifel Nicolaus,0,63,12,0,0,0,2,False,funko stock price target cut stifel nicolaus,funko stock price target cut stifel nicolaus,Funko stock price target cut to $10 from $25 at Stifel Nicolaus
GM stock price target cut to $30 from $32 at Deutsche Bank,0,58,12,0,0,0,2,False,stock price target cut deutsche bank,stock price target cut deutsch bank,GM stock price target cut to $30 from $32 at Deutsche Bank
Grubhub gains a bear on margin view,0,35,7,0,0,0,0,False,grubhub gain bear margin view,grubhub gain bear margin view,Grubhub gains a bear on margin view
H&P downgraded at Argus as drilling industry weakness seen persisting,0,69,10,0,0,0,0,False,downgraded argus drilling industry weakness seen persisting,downgrad argus drill industri weak seen persist,H&P downgraded at Argus as drilling industry weakness seen persisting
Hanesbrands stock price target cut to $13 vs. $16 at BofA Merrill Lynch,0,71,13,0,0,0,2,False,hanesbrands stock price target cut bofa merrill lynch,hanesbrand stock price target cut bofa merril lynch,Hanesbrands stock price target cut to $13 vs. $16 at BofA Merrill Lynch
Helmerich & Payne started at sell with $34 stock price target at Deutsche Bank,0,78,14,0,0,0,1,False,helmerich payne started sell stock price target deutsche bank,helmerich payn start sell stock price target deutsch bank,Helmerich & Payne started at sell with $34 stock price target at Deutsche Bank
Hexo stock price target cut to C$5 from C$6 at MKM Partners,0,59,12,0,0,0,2,False,hexo stock price target cut mkm partner,hexo stock price target cut mkm partner,Hexo stock price target cut to C$5 from C$6 at MKM Partners
Home Depot stock price target cut to $237 from $240 at Instinet,0,63,12,0,0,0,2,False,home depot stock price target cut instinet,home depot stock price target cut instinet,Home Depot stock price target cut to $237 from $240 at Instinet
Intelsat downgraded to underweight from neutral at J.P. Morgan,0,62,9,0,0,0,0,False,intelsat downgraded underweight neutral morgan,intelsat downgrad underweight neutral morgan,Intelsat downgraded to underweight from neutral at J.P. Morgan
Intelsat lower after Morgan Stanley target cut,0,46,7,0,0,0,0,False,intelsat lower morgan stanley target cut,intelsat lower morgan stanley target cut,Intelsat lower after Morgan Stanley target cut
Jefferies warns on L Brands,0,27,5,0,0,0,0,False,jefferies warns brand,jefferi warn brand,Jefferies warns on L Brands
Kohl's stock price target cut to $48 from $52 at Deutsche Bank,0,62,12,0,0,0,2,False,kohl stock price target cut deutsche bank,kohl stock price target cut deutsch bank,Kohl's stock price target cut to $48 from $52 at Deutsche Bank
Kohl's stock price target cut to $50 from $53 at Wedbush,0,56,11,0,0,0,2,False,kohl stock price target cut wedbush,kohl stock price target cut wedbush,Kohl's stock price target cut to $50 from $53 at Wedbush
L Brands stock price target cut to $16 from $20 at Wedbush,0,58,12,0,0,0,2,False,brand stock price target cut wedbush,brand stock price target cut wedbush,L Brands stock price target cut to $16 from $20 at Wedbush
Lovesac stock price target cut to $28 vs. $33 at Canaccord,0,58,11,0,0,0,2,False,lovesac stock price target cut canaccord,lovesac stock price target cut canaccord,Lovesac stock price target cut to $28 vs. $33 at Canaccord
Lyft stock price target cut to $58 from $70 at Deutsche Bank,0,60,12,0,0,0,2,False,lyft stock price target cut deutsche bank,lyft stock price target cut deutsch bank,Lyft stock price target cut to $58 from $70 at Deutsche Bank
Macerich downgraded to underweight from sector weight at KeyBanc Capital,0,72,10,0,0,0,0,False,macerich downgraded underweight sector weight keybanc capital,macerich downgrad underweight sector weight keybanc capit,Macerich downgraded to underweight from sector weight at KeyBanc Capital
Marinus Pharma stock price target cut to $6 from $7 at Leerink,0,62,12,0,0,0,2,False,marinus pharma stock price target cut leerink,marinus pharma stock price target cut leerink,Marinus Pharma stock price target cut to $6 from $7 at Leerink
Methanex downgraded at TD Securities on valuation,0,49,7,0,0,0,0,False,methanex downgraded security valuation,methanex downgrad secur valuat,Methanex downgraded at TD Securities on valuation
Metro Inc. Just Missed Earnings And Its EPS Looked Sad - But Analysts Have Updated Their Models,0,95,17,0,0,0,0,False,metro inc missed earnings eps looked sad analyst updated model,metro inc miss earn ep look sad analyst updat model,Metro Inc. Just Missed Earnings And Its EPS Looked Sad - But Analysts Have Updated Their Models
Mid-America Apartment Communities downgraded to sector weight from overweight at KeyBanc Capital,0,96,12,0,0,0,0,False,mid america apartment community downgraded sector weight overweight keybanc capital,mid america apart communiti downgrad sector weight overweight keybanc capit,Mid-America Apartment Communities downgraded to sector weight from overweight at KeyBanc Capital
Mitek Systems stock price target cut to $11 from $14 at Benchmark,0,65,12,0,0,0,2,False,mitek system stock price target cut benchmark,mitek system stock price target cut benchmark,Mitek Systems stock price target cut to $11 from $14 at Benchmark
Napco Security stock price target cut to $30 from $35 at Imperial Capital,0,73,13,0,0,0,2,False,napco security stock price target cut imperial capital,napco secur stock price target cut imperi capit,Napco Security stock price target cut to $30 from $35 at Imperial Capital
Needham's Martin Defends Her Prediction That Netflix Subscriptions Will Fall,0,76,10,0,0,0,0,False,needham martin defends prediction netflix subscription fall,needham martin defend predict netflix subscript fall,Needham's Martin Defends Her Prediction That Netflix Subscriptions Will Fall
Netflix downgraded to ‘underperform’ at Needham,0,47,6,0,0,0,0,False,netflix downgraded underperform needham,netflix downgrad underperform needham,Netflix downgraded to ‘underperform’ at Needham
Netflix stock falls after Wells Fargo turns bearish,0,51,8,0,0,0,0,False,netflix stock fall well fargo turn bearish,netflix stock fall well fargo turn bearish,Netflix stock falls after Wells Fargo turns bearish
New Netflix bear steps out,0,26,5,0,0,0,0,False,new netflix bear step,new netflix bear step,New Netflix bear steps out
"New York Opioid Case A Significant Risk For Pharma Stocks, Says Bearish BofA",0,76,13,0,0,0,0,False,new york opioid case significant risk pharma stock say bearish bofa,new york opioid case signific risk pharma stock say bearish bofa,"New York Opioid Case A Significant Risk For Pharma Stocks, Says Bearish BofA"
Norwegian Cruise Line downgraded to strong sell from hold at CFRA,0,65,11,0,0,0,0,False,norwegian cruise line downgraded strong sell hold cfra,norwegian cruis line downgrad strong sell hold cfra,Norwegian Cruise Line downgraded to strong sell from hold at CFRA
Novo Nordisk downgraded by UBS on concerns over drug launch cost,0,64,11,0,0,0,0,False,novo nordisk downgraded ubs concern drug launch cost,novo nordisk downgrad ub concern drug launch cost,Novo Nordisk downgraded by UBS on concerns over drug launch cost
Oppenheimer cuts estimates on Yum China,0,39,6,0,0,0,0,False,oppenheimer cut estimate yum china,oppenheim cut estim yum china,Oppenheimer cuts estimates on Yum China
Orbcomm price target lowered to $9 at Canaccord,0,47,8,0,0,0,1,False,orbcomm price target lowered canaccord,orbcomm price target lower canaccord,Orbcomm price target lowered to $9 at Canaccord
O'Reilly Automotive stock price target cut to $405 from $415 at J.P. Morgan,0,75,13,0,0,0,2,False,reilly automotive stock price target cut morgan,reilli automot stock price target cut morgan,O'Reilly Automotive stock price target cut to $405 from $415 at J.P. Morgan
Patterson-UTI Energy started at sell with $7 stock price target at Deutsche Bank,0,80,13,0,0,0,1,False,patterson uti energy started sell stock price target deutsche bank,patterson uti energi start sell stock price target deutsch bank,Patterson-UTI Energy started at sell with $7 stock price target at Deutsche Bank
PS Business Parks downgraded to underweight from sector weight at KeyBanc Capital,0,81,12,0,0,0,0,False,business park downgraded underweight sector weight keybanc capital,busi park downgrad underweight sector weight keybanc capit,PS Business Parks downgraded to underweight from sector weight at KeyBanc Capital
Rio Tinto downgraded to neutral from overweight at J.P. Morgan,0,62,10,0,0,0,0,False,rio tinto downgraded neutral overweight morgan,rio tinto downgrad neutral overweight morgan,Rio Tinto downgraded to neutral from overweight at J.P. Morgan
"Rosenblatt Projects 47% Downside In Apple Shares, Warns Of Drop In iPhone Production",0,84,13,0,0,0,1,False,rosenblatt project downside apple share warns drop iphone production,rosenblatt project downsid appl share warn drop iphon product,"Rosenblatt Projects 47% Downside In Apple Shares, Warns Of Drop In iPhone Production"
Royal Caribbean downgraded to sell from buy at CFRA,0,51,9,0,0,0,0,False,royal caribbean downgraded sell buy cfra,royal caribbean downgrad sell buy cfra,Royal Caribbean downgraded to sell from buy at CFRA
Royal Caribbean stock price target cut to $100 from $135 at CFRA,0,64,12,0,0,0,2,False,royal caribbean stock price target cut cfra,royal caribbean stock price target cut cfra,Royal Caribbean stock price target cut to $100 from $135 at CFRA
Royal Caribbean's stock falls after CFRA swings to bearish on 'more dire' coronavirus assessment,0,96,14,0,0,0,0,False,royal caribbean stock fall cfra swing bearish dire coronavirus assessment,royal caribbean stock fall cfra swing bearish dire coronavirus assess,Royal Caribbean's stock falls after CFRA swings to bearish on 'more dire' coronavirus assessment
Scandinavian Tobacco Group A/S Earnings Missed Analyst Estimates: Here's What Analysts Are Forecasting Now,0,106,14,0,0,0,0,False,scandinavian tobacco group earnings missed analyst estimate analyst forecasting,scandinavian tobacco group earn miss analyst estim analyst forecast,Scandinavian Tobacco Group A/S Earnings Missed Analyst Estimates: Here's What Analysts Are Forecasting Now
Sherwin-Williams cut from Conviction Buy at Goldman on valuation,0,64,9,0,0,0,0,False,sherwin williams cut conviction buy goldman valuation,sherwin william cut convict buy goldman valuat,Sherwin-Williams cut from Conviction Buy at Goldman on valuation
Sirius downgraded on valuation,0,30,4,0,0,0,0,False,sirius downgraded valuation,sirius downgrad valuat,Sirius downgraded on valuation
Spotify Double Downgrade Reflects Prospect of Slower Revenue Growth https://t.co/jMJ3N4A06T,0,91,10,0,0,1,0,False,spotify double downgrade reflects prospect slower revenue growth,spotifi doubl downgrad reflect prospect slower revenu growth,Spotify Double Downgrade Reflects Prospect of Slower Revenue Growth
SunTrust latest to trim Nielsen target,0,38,6,0,0,0,0,False,suntrust latest trim nielsen target,suntrust latest trim nielsen target,SunTrust latest to trim Nielsen target
Taco Bell parent Yum Brands downgraded to neutral from buy at BTIG,0,66,12,0,0,0,0,False,taco bell parent yum brand downgraded neutral buy btig,taco bell parent yum brand downgrad neutral buy btig,Taco Bell parent Yum Brands downgraded to neutral from buy at BTIG
Take-Two downgraded on murky game slate,0,39,6,0,0,0,0,False,take two downgraded murky game slate,take two downgrad murki game slate,Take-Two downgraded on murky game slate
Take-Two Interactive stock price target cut to $124 from $133 at MKM Partners,0,77,13,0,0,0,2,False,take two interactive stock price target cut mkm partner,take two interact stock price target cut mkm partner,Take-Two Interactive stock price target cut to $124 from $133 at MKM Partners
Target Hospitality downgraded to perform from outperform at Oppenheimer,0,71,9,0,0,0,0,False,target hospitality downgraded perform outperform oppenheimer,target hospit downgrad perform outperform oppenheim,Target Hospitality downgraded to perform from outperform at Oppenheimer
Taubman Centers downgraded to sector weight from overweight at KeyBanc Capital,0,78,11,0,0,0,0,False,taubman center downgraded sector weight overweight keybanc capital,taubman center downgrad sector weight overweight keybanc capit,Taubman Centers downgraded to sector weight from overweight at KeyBanc Capital
"The Manitowoc Company, Inc. Just Reported Earnings, And Analysts Cut Their Target Price",0,87,13,0,0,0,0,False,manitowoc company inc reported earnings analyst cut target price,manitowoc compani inc report earn analyst cut target price,"The Manitowoc Company, Inc. Just Reported Earnings, And Analysts Cut Their Target Price"
Transocean started at sell with $3 stock price target at Deutsche Bank,0,70,12,0,0,0,1,False,transocean started sell stock price target deutsche bank,transocean start sell stock price target deutsch bank,Transocean started at sell with $3 stock price target at Deutsche Bank
